batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,1,White,King,c4,d4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,2,Black,Pawn,a7,a6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,3,White,Pawn,b2,b4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,4,Black,King,d6,e6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,5,White,King,d4,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,6,Black,King,e6,d6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,7,White,Pawn,a4,a5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,8,Black,Pawn,b6,a5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,9,White,Pawn,b4,a5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,10,Black,King,d6,e6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,11,White,King,e4,d4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,12,Black,King,e6,f5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,13,White,King,d4,c5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,14,Black,King,f5,g5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,15,White,King,c5,b6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,16,Black,King,g5,f4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,17,White,King,b6,a6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,18,Black,King,f4,e5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,19,White,King,a6,b7,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,20,Black,King,e5,d6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,21,White,Pawn,a5,a6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123124,1,20260420_123124_g1,2026-04-20T12:31:48.7728680Z,Baseline,Baseline,22,Black,King,d6,c5,,Draw by threefold repetition.,DrawThreefoldRepetition
