batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,1,White,King,g1,f2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,2,Black,King,g7,f6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,3,White,King,f2,f3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,4,Black,King,f6,f5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,5,White,King,f3,e3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,6,Black,King,f5,e5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,7,White,King,e3,d3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,8,Black,King,e5,d5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,9,White,King,d3,c3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,10,Black,King,d5,c5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,11,White,King,c3,d3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,12,Black,King,c5,d6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,13,White,King,d3,d4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,14,Black,King,d6,e6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,15,White,King,d4,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,16,Black,Pawn,g6,g5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,17,White,King,e4,f3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,18,Black,King,e6,f5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,19,White,King,f3,e3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,20,Black,Pawn,g5,g4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,21,White,King,e3,d4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,22,Black,Pawn,h4,h3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,23,White,Pawn,g2,g3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,24,Black,King,f5,e6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,25,White,King,d4,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,26,Black,Pawn,f7,f6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260418_081234,1,20260418_081234_g1,2026-04-18T08:13:05.4665930Z,Baseline,Baseline,27,White,King,e4,f4,,Draw by threefold repetition.,DrawThreefoldRepetition
