batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,17,Black,King,d2,e1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,18,White,King,b1,b2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,19,Black,King,e1,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,20,White,Queen,f3,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,21,Black,King,d2,d1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,22,White,King,b2,b1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,1,20260420_123426_g1,2026-04-20T12:34:34.5706500Z,Baseline,Baseline,23,Black,King,d1,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,1,Black,King,b3,c4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,2,White,Queen,b2,e5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,3,Black,King,c4,d3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,4,White,Queen,e5,f4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,5,Black,King,d3,c3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,6,White,Queen,f4,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,7,Black,King,c3,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,8,White,Queen,e4,f3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,9,Black,King,d2,e1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,10,White,King,b1,b2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,11,Black,King,e1,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,12,White,Queen,f3,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,13,Black,King,d2,d1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,14,White,King,b2,b1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,15,Black,King,d1,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,16,White,Queen,e4,f3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,17,Black,King,d2,e1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,18,White,King,b1,b2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,19,Black,King,e1,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,20,White,Queen,f3,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,21,Black,King,d2,d1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,22,White,King,b2,b1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123426,2,20260420_123426_g2,2026-04-20T12:34:42.8230420Z,Baseline,Baseline,23,Black,King,d1,d2,,Draw by threefold repetition.,DrawThreefoldRepetition
